countyGridIndex,FIPS,stateFips,county,lat (urcrnr),lon (urcrnr),lat (llcrnr),lon (llcrnr)
0,22007,22,Assumption Parish,29.846409,-91.13478833333333,29.7363885,-91.259388
1,22007,22,Assumption Parish,29.9564295,-91.13478833333333,29.846409,-91.259388
2,22007,22,Assumption Parish,30.06645,-91.13478833333333,29.9564295,-91.259388
3,22007,22,Assumption Parish,29.7363885,-91.01018866666666,29.626368,-91.13478833333333
4,22007,22,Assumption Parish,29.846409,-91.01018866666666,29.7363885,-91.13478833333333
5,22007,22,Assumption Parish,29.9564295,-91.01018866666666,29.846409,-91.13478833333333
6,22007,22,Assumption Parish,30.06645,-91.01018866666666,29.9564295,-91.13478833333333
7,22007,22,Assumption Parish,29.7363885,-90.885589,29.626368,-91.01018866666666
8,22007,22,Assumption Parish,29.846409,-90.885589,29.7363885,-91.01018866666666
9,22007,22,Assumption Parish,29.9564295,-90.885589,29.846409,-91.01018866666666
10,22007,22,Assumption Parish,30.06645,-90.885589,29.9564295,-91.01018866666666
0,22017,22,Caddo Parish,32.28708133333333,-93.94783066666668,32.195545,-94.043147
1,22017,22,Caddo Parish,32.37861766666667,-93.94783066666668,32.28708133333333,-94.043147
2,22017,22,Caddo Parish,32.470154,-93.94783066666668,32.37861766666667,-94.043147
3,22017,22,Caddo Parish,32.56169033333333,-93.94783066666668,32.470154,-94.043147
4,22017,22,Caddo Parish,32.65322666666667,-93.94783066666668,32.56169033333333,-94.043147
5,22017,22,Caddo Parish,32.744763,-93.94783066666668,32.65322666666667,-94.043147
6,22017,22,Caddo Parish,32.83629933333333,-93.94783066666668,32.744763,-94.043147
7,22017,22,Caddo Parish,32.92783566666667,-93.94783066666668,32.83629933333333,-94.043147
8,22017,22,Caddo Parish,33.019372,-93.94783066666668,32.92783566666667,-94.043147
9,22017,22,Caddo Parish,32.28708133333333,-93.85251433333333,32.195545,-93.94783066666668
10,22017,22,Caddo Parish,32.37861766666667,-93.85251433333333,32.28708133333333,-93.94783066666668
11,22017,22,Caddo Parish,32.470154,-93.85251433333333,32.37861766666667,-93.94783066666668
12,22017,22,Caddo Parish,32.56169033333333,-93.85251433333333,32.470154,-93.94783066666668
13,22017,22,Caddo Parish,32.65322666666667,-93.85251433333333,32.56169033333333,-93.94783066666668
14,22017,22,Caddo Parish,32.744763,-93.85251433333333,32.65322666666667,-93.94783066666668
15,22017,22,Caddo Parish,32.83629933333333,-93.85251433333333,32.744763,-93.94783066666668
16,22017,22,Caddo Parish,32.92783566666667,-93.85251433333333,32.83629933333333,-93.94783066666668
17,22017,22,Caddo Parish,33.019372,-93.85251433333333,32.92783566666667,-93.94783066666668
18,22017,22,Caddo Parish,32.28708133333333,-93.757198,32.195545,-93.85251433333333
19,22017,22,Caddo Parish,32.37861766666667,-93.757198,32.28708133333333,-93.85251433333333
20,22017,22,Caddo Parish,32.470154,-93.757198,32.37861766666667,-93.85251433333333
21,22017,22,Caddo Parish,32.56169033333333,-93.757198,32.470154,-93.85251433333333
22,22017,22,Caddo Parish,32.65322666666667,-93.757198,32.56169033333333,-93.85251433333333
23,22017,22,Caddo Parish,32.744763,-93.757198,32.65322666666667,-93.85251433333333
24,22017,22,Caddo Parish,32.83629933333333,-93.757198,32.744763,-93.85251433333333
25,22017,22,Caddo Parish,32.92783566666667,-93.757198,32.83629933333333,-93.85251433333333
26,22017,22,Caddo Parish,33.019372,-93.757198,32.92783566666667,-93.85251433333333
27,22017,22,Caddo Parish,32.37861766666667,-93.66188166666667,32.28708133333333,-93.757198
28,22017,22,Caddo Parish,32.470154,-93.66188166666667,32.37861766666667,-93.757198
29,22017,22,Caddo Parish,32.56169033333333,-93.66188166666667,32.470154,-93.757198
30,22017,22,Caddo Parish,32.65322666666667,-93.66188166666667,32.56169033333333,-93.757198
31,22017,22,Caddo Parish,32.28708133333333,-93.56656533333333,32.195545,-93.66188166666667
32,22017,22,Caddo Parish,32.37861766666667,-93.56656533333333,32.28708133333333,-93.66188166666667
33,22017,22,Caddo Parish,32.470154,-93.56656533333333,32.37861766666667,-93.66188166666667
34,22017,22,Caddo Parish,32.28708133333333,-93.471249,32.195545,-93.56656533333333
35,22017,22,Caddo Parish,32.37861766666667,-93.471249,32.28708133333333,-93.56656533333333
0,22027,22,Claiborne Parish,32.693185,-93.1358342,32.584916,-93.238607
1,22027,22,Claiborne Parish,32.801454,-93.1358342,32.693185,-93.238607
2,22027,22,Claiborne Parish,32.909723,-93.1358342,32.801454,-93.238607
3,22027,22,Claiborne Parish,33.017992,-93.1358342,32.909723,-93.238607
4,22027,22,Claiborne Parish,32.693185,-93.03306140000001,32.584916,-93.1358342
5,22027,22,Claiborne Parish,32.801454,-93.03306140000001,32.693185,-93.1358342
6,22027,22,Claiborne Parish,32.909723,-93.03306140000001,32.801454,-93.1358342
7,22027,22,Claiborne Parish,33.017992,-93.03306140000001,32.909723,-93.1358342
8,22027,22,Claiborne Parish,32.693185,-92.9302886,32.584916,-93.03306140000001
9,22027,22,Claiborne Parish,32.801454,-92.9302886,32.693185,-93.03306140000001
10,22027,22,Claiborne Parish,32.909723,-92.9302886,32.801454,-93.03306140000001
11,22027,22,Claiborne Parish,33.017992,-92.9302886,32.909723,-93.03306140000001
12,22027,22,Claiborne Parish,32.693185,-92.8275158,32.584916,-92.9302886
13,22027,22,Claiborne Parish,32.801454,-92.8275158,32.693185,-92.9302886
14,22027,22,Claiborne Parish,32.909723,-92.8275158,32.801454,-92.9302886
15,22027,22,Claiborne Parish,33.017992,-92.8275158,32.909723,-92.9302886
16,22027,22,Claiborne Parish,32.801454,-92.724743,32.693185,-92.8275158
17,22027,22,Claiborne Parish,32.909723,-92.724743,32.801454,-92.8275158
18,22027,22,Claiborne Parish,33.017992,-92.724743,32.909723,-92.8275158
0,22061,22,Lincoln Parish,32.606269499999996,-92.76436625,32.452999,-92.880805
1,22061,22,Lincoln Parish,32.75954,-92.76436625,32.606269499999996,-92.880805
2,22061,22,Lincoln Parish,32.606269499999996,-92.6479275,32.452999,-92.76436625
3,22061,22,Lincoln Parish,32.75954,-92.6479275,32.606269499999996,-92.76436625
4,22061,22,Lincoln Parish,32.606269499999996,-92.53148875,32.452999,-92.6479275
5,22061,22,Lincoln Parish,32.75954,-92.53148875,32.606269499999996,-92.6479275
6,22061,22,Lincoln Parish,32.606269499999996,-92.41505,32.452999,-92.53148875
7,22061,22,Lincoln Parish,32.75954,-92.41505,32.606269499999996,-92.53148875
0,22055,22,Lafayette Parish,30.150691,-92.158298,30.036918,-92.284675
1,22055,22,Lafayette Parish,30.264464,-92.158298,30.150691,-92.284675
2,22055,22,Lafayette Parish,30.378237,-92.158298,30.264464,-92.284675
3,22055,22,Lafayette Parish,30.150691,-92.031921,30.036918,-92.158298
4,22055,22,Lafayette Parish,30.264464,-92.031921,30.150691,-92.158298
5,22055,22,Lafayette Parish,30.378237,-92.031921,30.264464,-92.158298
6,22055,22,Lafayette Parish,30.150691,-91.905544,30.036918,-92.031921
7,22055,22,Lafayette Parish,30.264464,-91.905544,30.150691,-92.031921
8,22055,22,Lafayette Parish,30.378237,-91.905544,30.264464,-92.031921
0,22005,22,Ascension Parish,30.203861,-90.987666,30.062478,-91.105951
1,22005,22,Ascension Parish,30.345244,-90.987666,30.203861,-91.105951
2,22005,22,Ascension Parish,30.203861,-90.869381,30.062478,-90.987666
3,22005,22,Ascension Parish,30.345244,-90.869381,30.203861,-90.987666
4,22005,22,Ascension Parish,30.203861,-90.751096,30.062478,-90.869381
5,22005,22,Ascension Parish,30.345244,-90.751096,30.203861,-90.869381
6,22005,22,Ascension Parish,30.203861,-90.632811,30.062478,-90.751096
7,22005,22,Ascension Parish,30.345244,-90.632811,30.203861,-90.751096
0,22089,22,St. Charles Parish,29.7998,-90.41902933333334,29.692028,-90.541943
1,22089,22,St. Charles Parish,29.907572000000002,-90.41902933333334,29.7998,-90.541943
2,22089,22,St. Charles Parish,30.015344,-90.41902933333334,29.907572000000002,-90.541943
