countyGridIndex,FIPS,stateFips,county,lat (urcrnr),lon (urcrnr),lat (llcrnr),lon (llcrnr)
0,19135,19,Monroe County,41.029874500000005,-92.9841855,40.898451,-93.099217
1,19135,19,Monroe County,41.161298,-92.9841855,41.029874500000005,-93.099217
2,19135,19,Monroe County,41.029874500000005,-92.869154,40.898451,-92.9841855
3,19135,19,Monroe County,41.161298,-92.869154,41.029874500000005,-92.9841855
4,19135,19,Monroe County,41.029874500000005,-92.7541225,40.898451,-92.869154
5,19135,19,Monroe County,41.161298,-92.7541225,41.029874500000005,-92.869154
6,19135,19,Monroe County,41.029874500000005,-92.639091,40.898451,-92.7541225
7,19135,19,Monroe County,41.161298,-92.639091,41.029874500000005,-92.7541225
0,19117,19,Lucas County,41.029782999999995,-93.44256575,40.898295,-93.557556
1,19117,19,Lucas County,41.161271,-93.44256575,41.029782999999995,-93.557556
2,19117,19,Lucas County,41.029782999999995,-93.3275755,40.898295,-93.44256575
3,19117,19,Lucas County,41.161271,-93.3275755,41.029782999999995,-93.44256575
4,19117,19,Lucas County,41.029782999999995,-93.21258525,40.898295,-93.3275755
5,19117,19,Lucas County,41.161271,-93.21258525,41.029782999999995,-93.3275755
6,19117,19,Lucas County,41.029782999999995,-93.097595,40.898295,-93.21258525
7,19117,19,Lucas County,41.161271,-93.097595,41.029782999999995,-93.21258525
0,17155,17,Putnam County,41.310187,-89.314386,41.103665,-89.466534
1,17155,17,Putnam County,41.310187,-89.162238,41.103665,-89.314386
0,17091,17,Kankakee County,41.146305999999996,-88.161284,40.99456,-88.251995
1,17091,17,Kankakee County,41.298052,-88.161284,41.146305999999996,-88.251995
2,17091,17,Kankakee County,41.146305999999996,-88.070573,40.99456,-88.161284
3,17091,17,Kankakee County,41.298052,-88.070573,41.146305999999996,-88.161284
4,17091,17,Kankakee County,41.146305999999996,-87.979862,40.99456,-88.070573
5,17091,17,Kankakee County,41.298052,-87.979862,41.146305999999996,-88.070573
6,17091,17,Kankakee County,41.146305999999996,-87.889151,40.99456,-87.979862
7,17091,17,Kankakee County,41.298052,-87.889151,41.146305999999996,-87.979862
8,17091,17,Kankakee County,41.146305999999996,-87.79844,40.99456,-87.889151
9,17091,17,Kankakee County,41.298052,-87.79844,41.146305999999996,-87.889151
10,17091,17,Kankakee County,41.146305999999996,-87.707729,40.99456,-87.79844
11,17091,17,Kankakee County,41.298052,-87.707729,41.146305999999996,-87.79844
12,17091,17,Kankakee County,41.146305999999996,-87.617018,40.99456,-87.707729
13,17091,17,Kankakee County,41.298052,-87.617018,41.146305999999996,-87.707729
14,17091,17,Kankakee County,41.146305999999996,-87.526307,40.99456,-87.617018
15,17091,17,Kankakee County,41.298052,-87.526307,41.146305999999996,-87.617018
0,28089,28,Madison County,32.4965506,-90.360034375,32.399495,-90.450037
1,28089,28,Madison County,32.5936062,-90.360034375,32.4965506,-90.450037
2,28089,28,Madison County,32.6906618,-90.360034375,32.5936062,-90.450037
3,28089,28,Madison County,32.4965506,-90.27003175,32.399495,-90.360034375
4,28089,28,Madison County,32.5936062,-90.27003175,32.4965506,-90.360034375
5,28089,28,Madison County,32.6906618,-90.27003175,32.5936062,-90.360034375
6,28089,28,Madison County,32.4965506,-90.180029125,32.399495,-90.27003175
7,28089,28,Madison County,32.5936062,-90.180029125,32.4965506,-90.27003175
8,28089,28,Madison County,32.6906618,-90.180029125,32.5936062,-90.27003175
9,28089,28,Madison County,32.4965506,-90.0900265,32.399495,-90.180029125
10,28089,28,Madison County,32.5936062,-90.0900265,32.4965506,-90.180029125
11,28089,28,Madison County,32.6906618,-90.0900265,32.5936062,-90.180029125
12,28089,28,Madison County,32.787717400000005,-90.0900265,32.6906618,-90.180029125
13,28089,28,Madison County,32.4965506,-90.000023875,32.399495,-90.0900265
14,28089,28,Madison County,32.5936062,-90.000023875,32.4965506,-90.0900265
15,28089,28,Madison County,32.6906618,-90.000023875,32.5936062,-90.0900265
16,28089,28,Madison County,32.787717400000005,-90.000023875,32.6906618,-90.0900265
17,28089,28,Madison County,32.884773,-90.000023875,32.787717400000005,-90.0900265
18,28089,28,Madison County,32.4965506,-89.91002125,32.399495,-90.000023875
19,28089,28,Madison County,32.5936062,-89.91002125,32.4965506,-90.000023875
20,28089,28,Madison County,32.6906618,-89.91002125,32.5936062,-90.000023875
21,28089,28,Madison County,32.787717400000005,-89.91002125,32.6906618,-90.000023875
22,28089,28,Madison County,32.884773,-89.91002125,32.787717400000005,-90.000023875
23,28089,28,Madison County,32.5936062,-89.820018625,32.4965506,-89.91002125
24,28089,28,Madison County,32.6906618,-89.820018625,32.5936062,-89.91002125
25,28089,28,Madison County,32.787717400000005,-89.820018625,32.6906618,-89.91002125
26,28089,28,Madison County,32.884773,-89.820018625,32.787717400000005,-89.91002125
27,28089,28,Madison County,32.5936062,-89.730016,32.4965506,-89.820018625
28,28089,28,Madison County,32.6906618,-89.730016,32.5936062,-89.820018625
29,28089,28,Madison County,32.787717400000005,-89.730016,32.6906618,-89.820018625
30,28089,28,Madison County,32.884773,-89.730016,32.787717400000005,-89.820018625
0,28123,28,Scott County,32.32508625,-89.66874175,32.222039,-89.784123
1,28123,28,Scott County,32.4281335,-89.66874175,32.32508625,-89.784123
2,28123,28,Scott County,32.531180750000004,-89.66874175,32.4281335,-89.784123
3,28123,28,Scott County,32.634228,-89.66874175,32.531180750000004,-89.784123
4,28123,28,Scott County,32.32508625,-89.5533605,32.222039,-89.66874175
5,28123,28,Scott County,32.4281335,-89.5533605,32.32508625,-89.66874175
6,28123,28,Scott County,32.531180750000004,-89.5533605,32.4281335,-89.66874175
7,28123,28,Scott County,32.634228,-89.5533605,32.531180750000004,-89.66874175
8,28123,28,Scott County,32.32508625,-89.43797925,32.222039,-89.5533605
9,28123,28,Scott County,32.4281335,-89.43797925,32.32508625,-89.5533605
10,28123,28,Scott County,32.531180750000004,-89.43797925,32.4281335,-89.5533605
11,28123,28,Scott County,32.634228,-89.43797925,32.531180750000004,-89.5533605
12,28123,28,Scott County,32.32508625,-89.322598,32.222039,-89.43797925
13,28123,28,Scott County,32.4281335,-89.322598,32.32508625,-89.43797925
14,28123,28,Scott County,32.531180750000004,-89.322598,32.4281335,-89.43797925
15,28123,28,Scott County,32.634228,-89.322598,32.531180750000004,-89.43797925
0,22107,22,Tensas Parish,31.8362782,-91.465963,31.733013,-91.575721
1,22107,22,Tensas Parish,31.939543399999998,-91.465963,31.8362782,-91.575721
2,22107,22,Tensas Parish,32.0428086,-91.465963,31.939543399999998,-91.575721
3,22107,22,Tensas Parish,32.146073799999996,-91.465963,32.0428086,-91.575721
4,22107,22,Tensas Parish,32.249339,-91.465963,32.146073799999996,-91.575721
5,22107,22,Tensas Parish,31.8362782,-91.356205,31.733013,-91.465963
6,22107,22,Tensas Parish,31.939543399999998,-91.356205,31.8362782,-91.465963
7,22107,22,Tensas Parish,32.0428086,-91.356205,31.939543399999998,-91.465963
8,22107,22,Tensas Parish,32.146073799999996,-91.356205,32.0428086,-91.465963
9,22107,22,Tensas Parish,32.249339,-91.356205,32.146073799999996,-91.465963
10,22107,22,Tensas Parish,31.8362782,-91.246447,31.733013,-91.356205
11,22107,22,Tensas Parish,31.939543399999998,-91.246447,31.8362782,-91.356205
12,22107,22,Tensas Parish,32.0428086,-91.246447,31.939543399999998,-91.356205
13,22107,22,Tensas Parish,32.146073799999996,-91.246447,32.0428086,-91.356205
14,22107,22,Tensas Parish,32.249339,-91.246447,32.146073799999996,-91.356205
15,22107,22,Tensas Parish,31.939543399999998,-91.136689,31.8362782,-91.246447
16,22107,22,Tensas Parish,32.0428086,-91.136689,31.939543399999998,-91.246447
17,22107,22,Tensas Parish,32.146073799999996,-91.136689,32.0428086,-91.246447
18,22107,22,Tensas Parish,32.249339,-91.136689,32.146073799999996,-91.246447
19,22107,22,Tensas Parish,32.0428086,-91.026931,31.939543399999998,-91.136689
20,22107,22,Tensas Parish,32.146073799999996,-91.026931,32.0428086,-91.136689
21,22107,22,Tensas Parish,32.249339,-91.026931,32.146073799999996,-91.136689
0,22043,22,Grant Parish,31.69548125,-92.87635424999999,31.593813500000003,-92.973529
1,22043,22,Grant Parish,31.797149,-92.87635424999999,31.69548125,-92.973529
2,22043,22,Grant Parish,31.593813500000003,-92.7791795,31.492145750000002,-92.87635424999999
3,22043,22,Grant Parish,31.69548125,-92.7791795,31.593813500000003,-92.87635424999999
4,22043,22,Grant Parish,31.797149,-92.7791795,31.69548125,-92.87635424999999
5,22043,22,Grant Parish,31.492145750000002,-92.68200475,31.390478,-92.7791795
6,22043,22,Grant Parish,31.593813500000003,-92.68200475,31.492145750000002,-92.7791795
7,22043,22,Grant Parish,31.69548125,-92.68200475,31.593813500000003,-92.7791795
8,22043,22,Grant Parish,31.797149,-92.68200475,31.69548125,-92.7791795
9,22043,22,Grant Parish,31.492145750000002,-92.58483,31.390478,-92.68200475
10,22043,22,Grant Parish,31.593813500000003,-92.58483,31.492145750000002,-92.68200475
11,22043,22,Grant Parish,31.69548125,-92.58483,31.593813500000003,-92.68200475
12,22043,22,Grant Parish,31.797149,-92.58483,31.69548125,-92.68200475
13,22043,22,Grant Parish,31.492145750000002,-92.48765524999999,31.390478,-92.58483
14,22043,22,Grant Parish,31.593813500000003,-92.48765524999999,31.492145750000002,-92.58483
15,22043,22,Grant Parish,31.69548125,-92.48765524999999,31.593813500000003,-92.58483
16,22043,22,Grant Parish,31.797149,-92.48765524999999,31.69548125,-92.58483
17,22043,22,Grant Parish,31.492145750000002,-92.3904805,31.390478,-92.48765524999999
18,22043,22,Grant Parish,31.593813500000003,-92.3904805,31.492145750000002,-92.48765524999999
19,22043,22,Grant Parish,31.69548125,-92.3904805,31.593813500000003,-92.48765524999999
20,22043,22,Grant Parish,31.797149,-92.3904805,31.69548125,-92.48765524999999
21,22043,22,Grant Parish,31.492145750000002,-92.29330575,31.390478,-92.3904805
22,22043,22,Grant Parish,31.593813500000003,-92.29330575,31.492145750000002,-92.3904805
23,22043,22,Grant Parish,31.69548125,-92.29330575,31.593813500000003,-92.3904805
