countyGridIndex,FIPS,stateFips,county,lat (urcrnr),lon (urcrnr),lat (llcrnr),lon (llcrnr)
0,22055,22,Lafayette Parish,30.150691,-92.158298,30.036918,-92.284675
1,22055,22,Lafayette Parish,30.264464,-92.158298,30.150691,-92.284675
2,22055,22,Lafayette Parish,30.378237,-92.158298,30.264464,-92.284675
3,22055,22,Lafayette Parish,30.150691,-92.031921,30.036918,-92.158298
4,22055,22,Lafayette Parish,30.264464,-92.031921,30.150691,-92.158298
5,22055,22,Lafayette Parish,30.378237,-92.031921,30.264464,-92.158298
6,22055,22,Lafayette Parish,30.150691,-91.905544,30.036918,-92.031921
7,22055,22,Lafayette Parish,30.264464,-91.905544,30.150691,-92.031921
8,22055,22,Lafayette Parish,30.378237,-91.905544,30.264464,-92.031921
0,22107,22,Tensas Parish,31.8362782,-91.465963,31.733013,-91.575721
1,22107,22,Tensas Parish,31.939543399999998,-91.465963,31.8362782,-91.575721
2,22107,22,Tensas Parish,32.0428086,-91.465963,31.939543399999998,-91.575721
3,22107,22,Tensas Parish,32.146073799999996,-91.465963,32.0428086,-91.575721
4,22107,22,Tensas Parish,32.249339,-91.465963,32.146073799999996,-91.575721
5,22107,22,Tensas Parish,31.8362782,-91.356205,31.733013,-91.465963
6,22107,22,Tensas Parish,31.939543399999998,-91.356205,31.8362782,-91.465963
7,22107,22,Tensas Parish,32.0428086,-91.356205,31.939543399999998,-91.465963
8,22107,22,Tensas Parish,32.146073799999996,-91.356205,32.0428086,-91.465963
9,22107,22,Tensas Parish,32.249339,-91.356205,32.146073799999996,-91.465963
10,22107,22,Tensas Parish,31.8362782,-91.246447,31.733013,-91.356205
11,22107,22,Tensas Parish,31.939543399999998,-91.246447,31.8362782,-91.356205
12,22107,22,Tensas Parish,32.0428086,-91.246447,31.939543399999998,-91.356205
13,22107,22,Tensas Parish,32.146073799999996,-91.246447,32.0428086,-91.356205
14,22107,22,Tensas Parish,32.249339,-91.246447,32.146073799999996,-91.356205
15,22107,22,Tensas Parish,31.939543399999998,-91.136689,31.8362782,-91.246447
16,22107,22,Tensas Parish,32.0428086,-91.136689,31.939543399999998,-91.246447
17,22107,22,Tensas Parish,32.146073799999996,-91.136689,32.0428086,-91.246447
18,22107,22,Tensas Parish,32.249339,-91.136689,32.146073799999996,-91.246447
19,22107,22,Tensas Parish,32.0428086,-91.026931,31.939543399999998,-91.136689
20,22107,22,Tensas Parish,32.146073799999996,-91.026931,32.0428086,-91.136689
21,22107,22,Tensas Parish,32.249339,-91.026931,32.146073799999996,-91.136689
0,19117,19,Lucas County,41.029782999999995,-93.44256575,40.898295,-93.557556
1,19117,19,Lucas County,41.161271,-93.44256575,41.029782999999995,-93.557556
2,19117,19,Lucas County,41.029782999999995,-93.3275755,40.898295,-93.44256575
3,19117,19,Lucas County,41.161271,-93.3275755,41.029782999999995,-93.44256575
4,19117,19,Lucas County,41.029782999999995,-93.21258525,40.898295,-93.3275755
5,19117,19,Lucas County,41.161271,-93.21258525,41.029782999999995,-93.3275755
6,19117,19,Lucas County,41.029782999999995,-93.097595,40.898295,-93.21258525
7,19117,19,Lucas County,41.161271,-93.097595,41.029782999999995,-93.21258525
